id,locality,p_type,sub_type,price,bedrooms,living_area,equip_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,surface of the plot,state,facades,swim_pool
20313868,eupen,house,villa,575000,5,392,0,0,0,1,40,0,,432,3063,To be done up,4,1
20313864,bruxelles,apartment,apartment,395000,2,95,1,0,0,1,8,0,,103,0,Good,2,0
20313863,charleroi,house,house,289000,3,165,1,0,0,1,,1,494,659,899,Good,3,1
20061189,chapelle-lez-herlaimont,house,house,325000,3,160,1,0,0,1,15,1,30,205,170,As new,3,1
20313861,grez-doiceau%20nethen,house,house,250000,3,230,1,0,0,1,,0,,230,983,To renovate,4,0
20121636,corroy-le-grand,other,farmhouse,449000,4,198,1,0,0,1,10,1,160,368,836,To be done up,4,1
20227779,hoboken,house,house,475000,4,175,1,0,0,1,22,1,121,318,246,Good,2,0
11420693,wavre,house,house,515000,3,216,1,0,1,1,67,1,1100,1383,1550,To be done up,4,0
11414121,bierges,house,house,515000,3,216,1,0,1,1,67,1,1100,1383,1550,To be done up,4,1
20120719,wavre,apartment,apartment-block,625000,4,173,1,0,0,1,30,1,200,403,299,Good,3,1
20156947,wavre,apartment,apartment-block,700000,4,203,1,0,0,1,5,1,110,318,290,Good,3,1
20142914,knokke,house,villa,1395000,4,276,1,0,0,1,323,1,323,922,606,Good,4,0
20303786,grace-hollogne,house,house,109000,3,,1,0,0,1,7,1,65,72,158,Good,2,1
20305466,sint-truiden,house,house,175000,3,137,1,0,0,0,,1,55,192,151,To renovate,0,0
20305166,haasrode,house,house,275000,2,200,0,0,0,0,,0,,200,249,To renovate,0,0
20305204,veltem-beisem,house,house,315000,5,205,0,0,0,1,38,1,600,843,710,,0,0
20306609,liege,house,house,349000,4,206,1,0,0,0,,0,,206,0,To be done up,2,0
20305436,gent,house,house,379000,4,144,0,0,0,0,,1,40,184,116,As new,2,0
20307847,saint-pierre-libramont-chevigny,house,house,385000,4,214,0,0,0,0,,0,,214,1382,,4,0
20305423,dendermonde,house,house,515000,5,308,0,0,0,1,60,1,2800,3168,4575,To renovate,4,0
20306484,forest,house,house,850000,4,227,1,0,0,1,24,0,,251,95,As new,2,1
20288993,antwerpen,house,mixed-use-building,149000,1,47,1,0,0,0,,0,,47,2198,Good,4,0
20289758,libramont-chevigny,house,house,188000,3,90,1,0,0,1,,0,,90,294,To be done up,2,0
20288931,geraardsbergen,house,house,235000,5,236,1,0,0,1,39,1,50,325,190,To renovate,0,0
20287777,hulshout,house,house,265000,3,155,1,0,0,1,,0,,155,492,To be done up,0,0
20289668,bredene,house,house,295000,4,184,0,0,0,0,,1,45,229,152,As new,2,0
20287766,oostende,house,house,299000,3,132,1,0,0,1,40,1,40,212,100,Just renovated,0,0
20287028,melle,house,house,339000,3,193,0,0,0,1,25,1,370,588,370,Good,0,0
20264934,jalhay,house,house,439000,4,230,0,0,0,1,,1,189,419,310,Good,3,1
20313613,antwerp%205,apartment,apartment,325000,2,86,0,0,0,1,10,0,,96,0,Good,2,1
20313612,antwerp%205,house,house,435000,3,132,0,0,0,0,,0,,132,132,Good,2,0
20313610,thuin,house,house,260000,3,120,0,0,1,0,,0,,120,386,As new,4,0
20261858,watervliet,house,house,299000,3,,0,0,0,0,,0,,0,1216,To renovate,0,0
