id,locality,p_type,sub_type,price,bedrooms,living_area,equip_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,surface of the plot,state,facades,swim_pool
20303406,lier,apartment,ground-floor,269103,1,61,1,0,0,1,14,1,51,126,0,As new,0,0
20303417,lier,apartment,ground-floor,287998,1,82,1,0,0,0,,1,194,276,0,As new,0,0
20303419,lier,apartment,ground-floor,310011,2,92,1,0,0,1,15,1,152,259,0,As new,0,0
20303405,lier,apartment,apartment,352337,2,106,1,0,0,1,9,0,,115,0,As new,0,0
20303414,lier,apartment,apartment,355581,2,106,1,0,0,1,9,0,,115,0,As new,0,0
20303410,lier,apartment,apartment,381760,3,116,1,0,0,1,8,0,,124,0,As new,0,0
20303409,lier,apartment,apartment,385003,3,116,1,0,0,1,8,0,,124,0,As new,0,0
20284971,namur,apartment,apartment,210636,1,47,1,0,0,1,15,0,,62,0,As new,4,1
20284936,namur,apartment,apartment,220000,1,60,1,0,0,1,12,0,,72,0,As new,4,0
20284969,namur,apartment,apartment,220731,1,63,1,0,0,1,23,0,,86,0,As new,4,0
20284920,namur,apartment,apartment,227000,1,62,1,0,0,1,14,0,,76,0,As new,4,0
20284944,namur,apartment,apartment,229500,1,66,1,0,0,1,15,0,,81,0,As new,4,1
20284946,namur,apartment,apartment,237000,1,58,1,0,0,1,27,0,,85,0,As new,4,1
20284942,namur,apartment,apartment,237555,1,61,1,0,0,1,11,0,,72,0,As new,4,0
20284935,namur,apartment,apartment,237555,1,66,1,0,0,1,11,0,,77,0,As new,4,1
20284933,namur,apartment,apartment,237555,1,66,1,0,0,1,11,0,,77,0,As new,4,0
20284968,namur,apartment,apartment,244000,1,68,1,0,0,1,11,0,,79,0,As new,4,1
20284949,namur,apartment,apartment,245967,1,75,1,0,0,1,11,0,,86,0,As new,4,0
20284967,namur,apartment,apartment,250000,1,71,1,0,0,1,9,0,,80,0,As new,4,1
20284922,namur,apartment,apartment,250900,1,75,1,0,0,1,25,0,,100,0,As new,4,1
20284943,namur,apartment,apartment,254000,1,78,1,0,0,1,15,0,,93,0,As new,4,1
20284941,namur,apartment,apartment,254380,1,66,1,0,0,1,23,0,,89,0,As new,4,0
20284950,namur,apartment,apartment,254380,1,78,1,0,0,1,16,0,,94,0,As new,4,1
20284947,namur,apartment,apartment,260000,1,74,1,0,0,1,12,0,,86,0,As new,4,0
20284916,namur,apartment,apartment,265000,1,74,1,0,0,1,12,0,,86,0,As new,4,1
20284930,namur,apartment,apartment,289000,2,87,1,0,0,1,16,0,,103,0,As new,4,1
20284966,namur,apartment,apartment,290000,2,87,1,0,0,1,11,0,,98,0,As new,4,1
20284970,namur,apartment,apartment,296000,2,88,1,0,0,1,11,0,,99,0,As new,4,1
20284940,namur,apartment,apartment,305000,2,88,1,0,0,1,12,0,,100,0,As new,4,0
20284918,namur,apartment,apartment,315000,2,87,1,0,0,1,12,0,,99,0,As new,4,1
20284932,namur,apartment,apartment,318000,2,95,1,0,0,1,33,0,,128,0,As new,4,1
20284919,namur,apartment,apartment,320000,2,88,1,0,0,1,36,1,12,136,0,As new,4,0
20284939,namur,apartment,apartment,320000,2,95,1,0,0,1,11,0,,106,0,As new,4,1
20284934,namur,apartment,apartment,329000,2,94,1,0,0,1,14,0,,108,0,As new,4,0
20284928,namur,apartment,apartment,340000,2,95,1,0,0,1,15,0,,110,0,As new,4,0
20284931,namur,apartment,apartment,340000,2,94,1,0,0,1,32,1,6,132,0,As new,4,0
20284963,namur,apartment,apartment,355000,2,92,1,0,0,1,28,0,,120,0,As new,4,0
20284965,namur,apartment,apartment,356000,3,100,1,0,0,1,29,1,42,171,0,As new,4,1
20284948,namur,apartment,apartment,359000,2,100,1,0,0,1,14,0,,114,0,As new,4,1
20284937,namur,apartment,apartment,376000,2,102,1,0,0,1,20,0,,122,0,As new,4,1
20284923,namur,apartment,apartment,380000,3,107,1,0,0,1,12,0,,119,0,As new,4,1
20284945,namur,apartment,apartment,380000,3,110,1,0,0,1,15,0,,125,0,As new,4,0
20284929,namur,apartment,apartment,380000,2,99,1,0,0,1,45,0,,144,0,As new,4,1
20301860,geraardsbergen,apartment,apartment,219000,1,60,1,0,0,1,6,0,,66,0,As new,2,0
20301858,geraardsbergen,apartment,ground-floor,229000,1,60,1,0,0,1,13,1,33,106,0,As new,2,0
20301859,geraardsbergen,apartment,duplex,269000,2,84,1,0,0,1,7,0,,91,0,As new,2,0
20301861,geraardsbergen,apartment,apartment,309000,2,96,1,0,0,1,9,0,,105,0,As new,2,0
20301855,rijkevorsel,house,house,423500,3,154,1,0,0,1,11,1,38,203,0,,2,0
20301853,rijkevorsel,house,house,423500,3,154,1,0,0,1,11,1,10,175,0,As new,2,0
20301851,rijkevorsel,house,house,429500,3,156,1,0,0,1,11,1,42,209,0,As new,3,0
20301854,rijkevorsel,house,house,432500,3,158,1,0,0,1,9,1,119,286,0,As new,3,0
20301849,rijkevorsel,other,country-cottage,475500,3,195,1,0,0,1,12,1,73,280,0,As new,3,0
20301852,rijkevorsel,other,country-cottage,497500,3,210,1,0,0,1,12,1,25,247,0,As new,3,0
20301850,rijkevorsel,other,country-cottage,535000,3,217,1,0,0,1,12,1,52,281,0,As new,2,0
20301507,uccle,other,offices,150000,,33,0,0,0,0,,0,,33,0,,0,0
20301519,uccle,other,offices,185000,,41,0,0,0,0,,0,,41,0,As new,0,0
20301512,uccle,apartment,flat-studio,265000,,32,1,0,0,0,,0,,32,0,As new,0,1
20301523,uccle,apartment,flat-studio,275000,,34,1,0,0,1,2,0,,36,0,As new,0,1
20301518,uccle,apartment,flat-studio,275000,,34,1,0,0,1,2,0,,36,0,As new,0,1
20301513,uccle,apartment,flat-studio,280000,,34,1,0,0,1,2,0,,36,0,As new,0,1
20301522,uccle,apartment,flat-studio,300000,,38,1,0,0,1,13,1,32,83,0,As new,0,1
20301511,uccle,apartment,apartment,350000,1,66,1,0,0,0,,1,24,90,0,As new,0,1
