Id,Locality,Type,SubType,Price,Bedrooms,Living_Area,Is_Equiped_Kitchen,Is_Furnished,Is_Open_Fire,Terrace,Terrace_Area,Garden,Garden_Area,Land_Surface,Surface of the plot,State,Facades,Swim_pool,Sale_Type
20315523,Aalst,House,house,279000,3,0.0,True,False,False,True,0.0,True,40.0,40,143,To be done up,2,False,Private
20315519,Bertrix,Apartment,apartment,239900,2,97.0,False,False,False,True,0.0,False,0.0,97,0,As new,0,True,Private
20315517,Dinant,House,house,179000,2,124.0,False,False,False,True,9.0,False,0.0,133,950,Good,3,False,Private
20315515,Oreye,Apartment,apartment-block,1295000,3,1363.0,True,False,False,True,0.0,False,0.0,1363,4528,Good,4,False,Private
20315513,Oreye,House,mixed-use-building,1295000,3,1363.0,True,False,False,True,0.0,False,0.0,1363,4528,Good,4,False,Private
20315518,Antwerpen,Apartment,apartment,408000,2,107.0,True,False,False,True,11.0,False,0.0,118,0,As new,2,False,Private
20310515,Saintghislain,House,house,325000,3,178.0,True,False,False,True,10.0,False,0.0,188,400,As new,2,True,Private
20309830,Saintghislain,House,house,350000,3,182.0,True,False,False,True,10.0,False,0.0,192,400,As new,3,True,Private
20294036,Grivegnee,House,house,248000,2,120.0,True,False,True,True,12.0,True,155.0,287,275,Good,3,False,Private
20304305,Berchem,House,house,475000,3,164.0,True,False,False,True,15.0,True,30.0,209,82,Good,0,False,Private
20305210,Zwevegem,House,house,629000,2,289.0,True,False,False,True,0.0,False,0.0,289,1034,Just renovated,4,True,Private
20288711,Wilrijk,House,house,299000,2,140.0,True,False,False,False,0.0,True,103.0,243,190,As new,2,False,Private
20315897,Zwalm,House,house,149900,2,60.0,False,False,False,True,0.0,True,140.0,200,200,Good,4,False,Private
20312293,Aalter,House,house,318000,3,284.0,False,False,False,False,0.0,False,0.0,284,286,Good,0,False,Private
20316087,Ertvelde,House,house,329000,2,0.0,True,False,False,True,0.0,False,0.0,0,225,Good,3,False,Private
20296352,Wetteren,House,house,249000,3,150.0,True,False,False,False,0.0,False,0.0,150,284,To renovate,3,False,Private
20297037,Brakel,House,house,445000,3,203.0,True,False,False,False,0.0,False,0.0,203,536,Good,0,False,Private
20295807,Sintlievenshoutem,House,villa,549000,4,210.0,True,False,False,True,0.0,False,0.0,210,3582,Good,4,True,Private
20295563,Sintlievenshoutem,House,villa,549000,4,210.0,True,False,False,True,0.0,False,0.0,210,3582,Good,4,True,Private
20297787,Uccle,House,town-house,699000,4,190.0,True,False,False,True,3.0,True,85.0,278,150,To renovate,2,True,Private
20294921,Rhodesaintgenese,House,villa,895000,4,240.0,False,False,False,True,30.0,True,1400.0,1670,1400,To be done up,4,False,Private
20309091,Affligem,House,town-house,415000,3,175.0,True,False,False,True,20.0,False,0.0,195,140,As new,2,False,Private
20291312,Deinze,House,villa,695000,3,385.0,True,False,False,True,124.0,True,1105.0,1614,1811,Good,4,True,Private
20291728,Uccle,House,villa,1250000,4,584.0,True,False,False,True,0.0,True,1085.0,1669,1225,To renovate,4,True,Private
20302603,Houthulst,House,house,349500,3,135.0,True,False,False,True,0.0,False,0.0,135,336,Good,0,False,Private
20301875,Wingene,House,house,395000,3,249.0,True,False,False,True,0.0,False,0.0,249,1368,Good,0,False,Private
20315212,Sintandries,House,house,635000,3,0.0,False,False,False,True,0.0,False,0.0,0,1050,Good,4,False,Private
20315218,Brugge,House,house,369000,3,0.0,False,False,False,True,0.0,True,104.0,104,214,Good,2,False,Private
20315210,Sijsele,House,house,260000,3,157.0,False,False,False,True,30.0,False,0.0,187,351,To renovate,2,False,Private
20315208,Maldegem,House,house,259000,4,143.0,False,False,False,True,0.0,False,0.0,143,870,Good,4,False,Private
20292116,Bouillon,Apartment,apartment-block,359000,6,180.0,True,False,False,True,18.0,True,700.0,898,908,Good,4,True,Private
20304412,Tihange,House,house,159000,3,152.0,True,False,False,True,10.0,False,0.0,162,150,To be done up,4,False,Private
20304582,Herzele,House,house,359000,3,219.0,False,False,False,False,0.0,True,542.0,761,692,To be done up,3,False,Private
20302735,Izegem,House,mixed-use-building,379000,2,171.0,True,False,False,True,0.0,False,0.0,171,227,Good,0,False,Private
20302602,Staden,House,house,425000,3,235.0,True,False,False,True,0.0,False,0.0,235,880,Good,0,False,Private
20302611,Nazareth,House,house,625000,4,241.0,False,False,False,True,0.0,False,0.0,241,796,Good,0,False,Private
20305124,Uccle,House,mixed-use-building,699000,4,286.0,True,False,False,True,20.0,True,55.0,361,185,Good,2,True,Private
20284139,Verviers,House,house,239000,5,143.0,True,False,False,True,20.0,True,180.0,343,280,As new,2,True,Private
20284138,Erezee,House,house,369000,4,231.0,True,False,False,True,58.0,True,855.0,1144,855,Good,4,True,Private
20285189,Woluwesaintlambert,House,house,795000,4,380.0,False,False,False,True,5.0,True,150.0,535,258,To renovate,2,False,Private
20311687,Jemeppesursambre,House,house,99000,5,0.0,False,False,False,True,31.0,True,27.0,58,95,To be done up,2,True,Private
20310767,Morlanwelzmontsaintealdegonde,House,villa,230000,1,190.0,True,True,False,True,20.0,True,800.0,1010,1036,As new,4,True,Private
20311090,Sintkatelijnewaver,House,house,395000,2,149.0,False,False,False,True,0.0,False,0.0,149,240,Not Known,0,False,Private
20299680,Sintgenesiusrode,House,house,465000,4,157.0,True,False,False,False,0.0,True,260.0,417,439,To be done up,3,False,Private
20311824,Gent,House,house,587000,4,200.0,True,False,False,False,0.0,False,0.0,200,51,To be done up,2,False,Private
20311850,Gent,Apartment,apartment-block,587000,4,200.0,True,False,False,False,0.0,False,0.0,200,51,To be done up,2,False,Private
20312759,Arlon,House,house,795000,4,296.0,True,False,False,False,0.0,False,0.0,296,3853,Good,4,False,Private
20311552,Heverlee,House,villa,1020000,5,309.0,True,False,False,True,85.0,False,0.0,394,783,Not Known,0,False,Private
20312285,Antwerpen,House,exceptional-property,2295000,5,493.0,True,False,False,True,0.0,True,54.0,547,171,As new,2,False,Private
20296792,Seraing,Apartment,apartment-block,189000,3,220.0,True,False,False,True,10.0,False,0.0,230,100,Good,2,False,Private
20314820,Vilvoorde,House,house,599000,4,202.0,False,False,False,True,14.0,True,150.0,366,0,To be done up,2,False,Private
20314819,Anderlecht,House,mixed-use-building,769000,3,142.0,True,False,False,False,0.0,False,0.0,142,0,To be done up,2,False,Private
20314818,Flcamalle,House,house,120000,2,105.0,False,False,False,False,0.0,True,1770.0,1875,2170,To renovate,3,False,Private
20243563,Zele,House,house,270000,4,179.0,True,False,False,False,0.0,False,0.0,179,360,To renovate,3,True,Private
20314816,Woluwesaintpierre,Apartment,apartment,365000,3,110.0,True,False,False,True,14.0,False,0.0,124,0,Good,2,True,Private
20304466,Gent,House,house,429000,3,125.0,True,False,False,True,0.0,True,20.0,145,128,Good,2,True,Private
20304728,Hooglede,House,house,462300,3,149.0,False,True,False,True,0.0,False,0.0,149,420,Good,0,False,Private
20304574,Maarkedal,House,villa,1545000,4,433.0,False,True,True,True,0.0,False,0.0,433,8633,Just renovated,4,False,Private
20287683,Ronse,House,house,180000,4,150.0,True,False,False,True,46.0,False,0.0,196,120,Good,0,False,Private
20286580,Oudenaarde,House,house,249000,2,107.0,False,False,False,True,1.0,True,1.0,109,110,Good,2,True,Private
20287719,Ouffet,House,house,399000,4,170.0,True,True,False,True,100.0,True,850.0,1120,1294,Good,4,True,Private
20290200,Waterloo,House,house,495000,2,140.0,False,False,False,True,20.0,True,190.0,350,452,To renovate,4,False,Private
20315415,Jumet,House,house,139000,3,104.0,True,False,False,False,0.0,False,0.0,104,0,To be done up,2,False,Private
20316039,Geraardsbergen,House,house,145000,2,80.0,True,False,False,False,0.0,False,0.0,80,30,Good,2,False,Private
20316069,Hornu,House,house,180000,3,138.0,False,False,False,True,1.0,True,1.0,140,110,As new,2,True,Private
20314968,Herzele,House,house,189000,2,205.0,False,True,False,True,76.0,False,0.0,281,133,Good,3,True,Private
20313980,Sintniklaas,House,house,269000,3,133.0,False,False,False,False,0.0,False,0.0,133,140,Good,0,False,Private
