Id,Locality,Type,SubType,Price,Sale_Type,Bedrooms,Living_Area,Is_Equiped_Kitchen,Is_Furnished,Is_Open_Fire,Terrace,Terrace_Area,Garden,Garden_Area,Land_Surface,Surface of the plot,State,Facades,Swim_pool
20293274,Braine-le-comte,Apartment,apartment,429000,Private,2,98,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,98,0,Just renovated,0,FALSE
20293275,Bekegem,Apartment,duplex,429000,Private,2,98,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,98,0,Just renovated,0,FALSE
20293273,Oudenaken,House,town-house,399000,Private,3,155,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,155,140,Good,2,TRUE
20293270,Sint-genesius-rode,House,villa,1575000,Private,4,480,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,480,3194,As new,4,FALSE
20293267,Hasselt,Apartment,ground-floor,99000,Private,1,32,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,32,0,As new,0,FALSE
20293266,Vloesberg,Apartment,apartment,85000,Private,1,30,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,30,0,As new,0,FALSE
20293268,Aalst,House,house,325000,Private,9,278,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,278,0,To renovate,2,FALSE
20293265,Aalst,Apartment,apartment,200000,Private,2,59,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,59,0,As new,0,FALSE
20293269,Adegem,House,house,449000,Private,4,130,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,130,0,Not Known,2,FALSE
20293264,Jabbeke,Apartment,apartment,369000,Private,3,95,FALSE,FALSE,FALSE,FALSE,0,TRUE,40,135,0,Not Known,3,FALSE
20293260,Schaarbeek,Apartment,ground-floor,319500,Private,2,77,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,77,0,Not Known,2,FALSE
20293261,Beveren-waas,Apartment,ground-floor,319500,Private,2,77,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,77,0,Not Known,2,FALSE
